date_of_birth,id,first_name,rank,religion,last_name
09/02/1998,1,Madelene,Corporal,Druze,McDougal
4/30/2011,2,Kerwin,Lieutenant,Zoroastrian,Cordingly
6/14/1997,3,Blakeley,Lieutenant,Muslim,Alecock
02/12/2003,4,Domingo,General,Jewish,Wildgoose
06/09/1998,5,Lori,Captain,Zoroastrian,Slorance
9/19/1986,6,Trixie,Sergeant,Christian,Pettiward
05/06/2015,7,Paco,Colonel,Zoroastrian,Campelli
01/11/1985,8,Rochelle,Colonel,Jewish,Shotter
10/02/1999,9,Kile,Private,Hindu,Bebis
11/11/2008,10,Hodge,Private,Hindu,Upton
4/17/1988,11,Moira,Major,Sikh,Rosengren
11/06/1987,12,Fredericka,Corporal,Buddhist,Frail
7/29/1983,13,Kerry,General,Hindu,Foort
11/14/1988,14,Shay,General,Jewish,Kinson
9/26/1984,15,Krishna,Lieutenant,Jewish,Lewer
6/26/2005,16,Burke,Colonel,Christian,Sotheby
11/14/1987,17,Rakel,Sergeant,Druze,Conigsby
7/26/2020,18,Mikel,Colonel,Druze,Kennler
10/31/1980,19,Dorette,Captain,Muslim,Killough
01/12/1994,20,Harris,General,Muslim,Summerbell
12/28/2013,21,Valenka,Corporal,Druze,Paddick
10/10/1998,22,Roderick,Captain,Christian,Terrans
11/22/2013,23,Bab,Colonel,Jewish,Warden
10/30/1996,24,Andreas,Lieutenant,Druze,Reardon
08/03/2008,25,Antoinette,Lieutenant,Sikh,Troker
03/08/1999,26,Angelle,Corporal,Druze,Cousen
9/24/2017,27,Diahann,Private,Buddhist,Norvill
03/08/2000,28,Lavena,Corporal,Buddhist,Dossett
11/08/1997,29,Scotty,Captain,Druze,Tremayne
2/19/2016,30,Forbes,Colonel,Jewish,Dymott
01/01/2013,31,Brittne,Lieutenant,Jewish,Bierling
4/19/1997,32,Halsy,General,Hindu,Dursley
2/28/2007,33,Guy,Colonel,Druze,Maddie
11/21/1984,34,Stoddard,Major,Muslim,Jeste
02/02/1987,35,Louisa,General,Zoroastrian,Geldeard
6/24/2013,36,Flossie,Major,Hindu,Martusov
01/06/2009,37,Nettle,General,Buddhist,Angric
06/07/2013,38,Colby,Private,Muslim,Billett
02/08/1995,39,Mandi,General,Jewish,Brendeke
1/15/2007,40,Linus,Colonel,Jewish,Balchen
11/11/2010,41,Janessa,Colonel,Christian,Tumasian
7/21/2003,42,Cinderella,Colonel,Sikh,Samber
3/17/1998,43,Franzen,Lieutenant,Muslim,Crock
10/13/2000,44,Aida,Lieutenant,Buddhist,Riedel
09/05/1994,45,Anallise,Colonel,Hindu,Sudell
